Species,P111,P112,P121,P122,P131,P132,P211,P212,P221,P222,P231,P232,P311,P312,P321,P322,P331,P332,P411,P412,P421,P422,P431,P432,P511,P512,P521,P522,P531,P532,P611,P612,P621,P622,P631,P632
Linum catharticum L.,,,,,,,0.01,0.1,0.01,,0.7,0.001,,0.001,,,,,,,,,,,,,,,,,,,,,,0.001
Listera ovata (L.) R. Br.,,,,,,,,0.01,,,,,0.2,0.1,,,,,,,,,,,,,,,,,0.4,,0.1,,0.05,
Lolium perenne L.,,,2,3,,0.5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Lotus pedunculatus Cav.,,,,,,,,,,,,0.8,,,,3,0.1,2,,,,,,,,2,2,3,0.05,10,,,,1,0.2,0.3
Luzula campestris (L.) DC.,,0.001,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,
Luzula multiflora (Ehrh.) Lej.,,,,,,,0.6,0.3,0.01,0.05,0.1,,0.8,0.05,0.05,,0.1,,,,,,,,0.2,,0.01,,,,,0.1,,0.05,0.01,0.05
Lysimachia nemorum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.4,
Medicago lupulina L.,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,
Molinia caerulea (L.) Moench,,,,,,,,,,,,,,,,20,18,20,,,,,,,,,,,,,,,,,,
Myosotis scorpioides L.,4,0.5,,0.5,0.01,0.5,0.5,0.2,0.8,,,,0.5,,0.5,,,,1,0.5,1,0.05,0.01,1,0.5,,,,,,,0.3,,,0.1,
Nardus stricta L.,,,,,,,5,,,,,,,,,,,,,,,,0.1,3,,,,,,,,,,,,
Phyteuma spicatum L.,,,,,,,0.01,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,
Plantago lanceolata L.,8,5,10,,2,1,15,8,3,1,1,0.2,,,0.8,,,,1,0.8,0.8,,,0.7,,,,,,,,,,,,
Poa pratensis L.,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,
Poa trivialis L.,3,1,3,0.5,,0.8,5,,0.6,,,,0.8,,2,0.6,,,25,15,4,0.5,1,2,10,4,,10,15,6,0.5,1,,0.2,0.4,25
Polygala amarella Crantz,,,,,,,,,,,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,
Polygala vulgaris L. subsp. vulgaris,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonum bistorta L.,,,,25,7,8,30,5,1.5,5,20,12,20,2,15,30,25,35,0.2,,,8,15,8,,20,10,25,25,20,8,12,15,1.5,10,12
Potentilla erecta (L.) Raeusch.,,,,,,,0.8,,,5,5,2,5,18,,20,15,25,,1,,,,1,0.5,8,2,,2,3,10,10,4,8,10,5
Primula elatior (L.) L.,,,,1.5,0.3,0.01,0.05,0.8,0.1,,0.8,0.1,1,7,0.8,0.5,,,,3,0.01,1,5,3,,0.2,,,,,0.8,,6,,,
Prunella vulgaris L.,,,,0.1,,,,,,,,0.05,,,,,,,,2,,,,1,,,,,,,0.05,0.5,,0.2,0.2,
Ranunculus aconitifolius L.,,,,15,8,1,,,,,,,15,10,30,,,,,,,22,7,15,,,,,,,10,2,10,,,
Ranunculus acris L. subsp. acris,15,8,6,10,8,20,1,15,1,0.8,20,0.5,3,0.8,15,0.8,5,,8,1,4,2,1,8,0.5,0.5,1,0.5,0.8,0.8,2,3,0.2,7,20,20
Ranunculus flammula L.,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Ranunculus repens L.,10,,3,,,,,,,,,,,,,,,,15,1,15,,,,,,,,1,,,,,,,
Rhinanthus minor L.,20,5,1,0.01,0.01,0.5,,0.8,,15,2,,,,0.01,,,,,,0.5,,,,,,,,,,,,,,,
Rumex acetosa L.,10,1,20,0.1,,0.5,0.8,,,,,,0.1,0.01,0.001,0.05,,,2,2,2,0.2,,0.8,0.5,1,0.2,,0.1,,,0.05,0.8,0.01,,0.6
Scirpus sylvaticus L.,,,,30,,,,,,,,,,,4,,,2,,,,,,,15,15,,18,8,0.5,0.4,0.5,2,,,
Silene flos-cuculi (L.) Clairv.,,,,0.1,0.01,,,0.001,,,0.05,,0.01,0.05,,0.05,0.01,,,,,,,0.01,,,,,,,0.5,0.2,,,,
Taraxacum officinale aggr.,,,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trifolium dubium Sibth.,,,,,,,4,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Trifolium pratense L. subsp. pratense,5,10,7,2,2,8,8,8,10,4,5,,5,2,2,,2,,1,,0.8,0.02,,,,,,,0.8,,,,,15,12,15
Trifolium repens L.,,1,1,15,0.01,4,1,0.3,0.5,,0.1,,4,,0.2,,,,,,1,0.001,,,,,,,15,,,,,,1,2
Trisetum flavescens (L.) P. Beauv.,,,,0.1,2,,,,,,,,,,10,,,,,,,,,2,,,,,,2,,,,,,
Trollius europaeus L.,,,,,,10,,0.1,,,,0.5,,3,0.5,6,10,,,1,,,,15,0.3,,0.5,,,0.5,0.8,8,5,5,1,0.8
Valeriana dioica L.,,0.5,,,,,0.1,0.05,15,,,,0.8,0.01,0.5,0.01,1,,,1.5,,3,,,0.05,0.2,0.5,,,,0.05,0.3,0.3,2,3,0.2
Veronica chamaedrys L.,,,,,0.001,,1,,,,,,,,0.5,,,,,10,0.01,,0.5,2,0.1,4,0.8,,1,,,1,0.3,0.1,,2
Veronica serpyllifolia L.,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicia cracca L. subsp. cracca,,,,0.3,0.2,0.2,,0.05,,3,,,0.5,,,,,,,,,0.05,,0.5,,,,,0.01,,0.01,,,,,
Vicia sepium L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2,,,,,,
